known_companies;known_companies_len
KEYSIGHT TECHNOLOGIES;21
REGAL ENTERTAINMENT GROUP;25
MUTUAL OF AMERICA LIFE INSURANCE;32
PAYCHEX;7
BRINKER INTERNATIONAL;21
PENN NATIONAL GAMING;20
GANNETT;7
VISTEON;7
PINNACLE FOODS;14
INTUITIVE SURGICAL;18
CONTINENTAL RESOURCES;21
SCIENTIFIC GAMES;16
ALBEMARLE;9
ATMOS ENERGY;12
HOLOGIC;7
H&R BLOCK;9
QORVO;5
STEELCASE;9
UNIVISION COMMUNICATIONS;24
WORTHINGTON INDUSTRIES;22
TIMKEN;6
A.O. SMITH;10
PRICESMART;10
STIFEL FINANCIAL;16
BROWN FORMAN;12
CINEMARK HOLDINGS;17
GRANITE CONSTRUCTION;20
DYCOM INDUSTRIES;16
CLEAN HARBORS;13
FIRST SOLAR;11
SCOTTS MIRACLE GRO;18
CRACKER BARREL OLD COUNTRY STORE;32
TRIPLE S MANAGEMENT;19
FIRST REPUBLIC BANK;19
SERVICEMASTER GLOBAL HOLDINGS;29
PC CONNECTION;13
GENESCO;7
MEDICAL MUTUAL OF OHIO;22
MSC INDUSTRIAL DIRECT;21
LEGG MASON;10
HYSTER YALE MATERIALS HANDLING;30
APOLLO GLOBAL MANAGEMENT;24
CITRIX;6
ACADIA HEALTHCARE;17
VARIAN MEDICAL SYSTEMS;22
GROUPON;7
ALERIS;6
SPRAGUE RESOURCES;17
COOPER TIRE & RUBBER;20
HAIN CELESTIAL GROUP;20
PENN MUTUAL LIFE INSURANCE;26
COLONY NORTHSTAR;16
ARCBEST;7
PRESIDIO;8
TRI POINTE GROUP;16
ANNALY CAPITAL MANAGEMENT;25
AMC NETWORKS;12
ENABLE MIDSTREAM PARTNERS;25
CIENA;5
DSW;3
CONVERGYS;9
PARK HOTELS & RESORTS;21
POOL;4
FOSSIL GROUP;12
DOMINO'S PIZZA;14
CRANE;5
CALERES;7
TEMPUR SEALY INTERNATIONAL;26
TETRA TECH;10
ILLUMINA;8
VALMONT INDUSTRIES;18
HILL ROM HOLDINGS;17
UNISYS;6
ZIONS;5
SINCLAIR BROADCAST GROUP;24
LOUISIANA PACIFIC;17
METTLER TOLEDO INTERNATIONAL;28
SYNOPSYS;8
KEMPER;6
CABOT;5
GREAT PLAINS ENERGY;19
RENT A CENTER;13
HAWAIIAN HOLDINGS;17
REVLON;6
SYNEOS HEALTH;13
PUBLIC STORAGE;14
TTM TECHNOLOGIES;16
VECTREN;7
TRIMBLE;7
NOW;3
SPIRIT AIRLINES;15
ASGN;4
LINCOLN ELECTRIC HOLDINGS;25
PROLOGIS;8
RANGE RESOURCES;15
TELEDYNE TECHNOLOGIES;21
VISHAY INTERTECHNOLOGY;22
BOSTON PROPERTIES;17
APPLIED INDUSTRIAL TECHNOLOGIES;31
GRAHAM HOLDINGS;15
AMICA MUTUAL INSURANCE;22
CONCHO RESOURCES;16
ITT;3
KANSAS CITY SOUTHERN;20
MDC HOLDINGS;12
EVERGY;6
PINNACLE ENTERTAINMENT;22
HAWAIIAN ELECTRIC INDUSTRIES;28
TEGNA;5
SOUTHWEST GAS HOLDINGS;22
VISTA OUTDOOR;13
BON TON STORES;14
SUPER MICRO COMPUTER;20
PLEXUS;6
TRUEBLUE;8
MAGELLAN MIDSTREAM PARTNERS;27
TORO;4
AKAMAI TECHNOLOGIES;19
MOOG;4
VERTEX PHARMACEUTICALS;22
EQUITY RESIDENTIAL;18
SELECTIVE INSURANCE GROUP;25
APTARGROUP;10
BENCHMARK ELECTRONICS;21
COLUMBIA SPORTSWEAR;19
SCHULMAN;8
VERSO;5
DIGITAL REALTY TRUST;20
GNC HOLDINGS;12
HOVNANIAN ENTERPRISES;21
MAXIMUS;7
TWITTER;7
PAR PACIFIC HOLDINGS;20
PAREXEL INTERNATIONAL;21
NEXSTAR MEDIA GROUP;19
KNIGHT SWIFT TRANSPORTATION HOLDINGS;36
RED HAT;7
BELDEN;6
BOYD GAMING;11
PRIMORIS SERVICES;17
GARDNER DENVER;14
DONALDSON;9
PARTY CITY HOLDCO;17
ENERSYS;7
GUESS;5
PATTERSON UTI ENERGY;20
WGL HOLDINGS;12
WOLVERINE WORLD WIDE;20
XILINX;6
VORNADO REALTY TRUST;20
MIDDLEBY;8
MPM HOLDINGS;12
CLEVELAND CLIFFS;16
GGP;3
CYPRESS SEMICONDUCTOR;21
ARCH COAL;9
GMS;3
AFFILIATED MANAGERS GROUP;25
PERKINELMER;11
EDGEWELL PERSONAL CARE;22
MAXIM INTEGRATED PRODUCTS;25
KNIGHTS OF COLUMBUS;19
IDEX;4
DST SYSTEMS;11
CHICO'S FAS;11
NU SKIN ENTERPRISES;19
HERMAN MILLER;13
NLV FINANCIAL;13
CURTISS WRIGHT;14
NEW JERSEY RESOURCES;20
REV GROUP;9
MUELLER INDUSTRIES;18
GEO GROUP;9
ALLISON TRANSMISSION HOLDINGS;29
OGE ENERGY;10
CHEESECAKE FACTORY;18
PRA HEALTH SCIENCES;19
TUPPERWARE BRANDS;17
EURONET WORLDWIDE;17
FLEETCOR TECHNOLOGIES;21
NATIONSTAR MORTGAGE HOLDINGS;28
GODADDY;7
BLACKHAWK NETWORK HOLDINGS;26
CBOE GLOBAL MARKETS;19
SNYDER'S LANCE;14
MURPHY OIL;10
CDK GLOBAL;10
TEXAS ROADHOUSE;15
KIRBY;5
SQUARE;6
GENESEE & WYOMING;17
ZAYO;4
